Neighborhood,Address,Price,Beds,Baths,Sqft
Brookfield,"4531 Dubois Blvd, Brookfield, IL 60513","230,500",3,1,"1,500"
Brookfield,"9112 Grant Ave, Brookfield, IL 60513","516,000",4,4,"2,400"
Brookfield,"3434 Sunnyside Ave, Brookfield, IL 60513","235,000",3,2,"1,555"
Brookfield,"4531 Dubois Blvd, Brookfield, IL 60513","230,500",3,1,"1,227"
Brookfield,"3609 Vernon Ave, Brookfield, IL 60513","230,500",3,1,"1,128"
Brookfield,"4510 Deyo Ave, Brookfield, IL 60513","322,000",3,2.5,"1,587"
Brookfield,"3609 Vernon Ave, Brookfield, IL 60513","230,500",3,2,"1,128"
Brookfield,"4510 Deyo Ave, Brookfield, IL 60513","322,000",4,2,"1,800"
Brookfield,"8916 Plainfield Rd, Brookfield, IL 60513","180,000",2,2,"1,296"
Brookfield,"4436 Madison Ave, Brookfield, IL 60513","277,000",3,2,"1,182"
Brookfield,"4337 Madison Ave, Brookfield, IL 60513","229,500",3,1,978
Brookfield,"4437 Maple Ave, Brookfield, IL 60513","289,000",3,2,"1,200"
Brookfield,"3533 Oak Ave, Brookfield, IL 60513","210,000",2,1,"1,031"
Brookfield,"9128 Burlington Blvd, Brookfield, IL 60513","200,000",3,1,"1,300"
Brookfield,"4227 Elm Ave, Brookfield, IL 60513","230,000",2,1,"1,164"
Brookfield,"9512 Jefferson Ave, Brookfield, IL 60513","203,000",2,1,"1,000"
Brookfield,"3825 Cleveland Ave, Brookfield, IL 60513","220,000",3,1,"1,700"
Brookfield,"4241 Deyo Ave, Brookfield, IL 60513","225,000",2,1,962
Brookfield,"2904 Sunnyside Ave, Brookfield, IL 60513","265,000",4,1.5,"1,950"
Brookfield,"3811 Park Ave, Brookfield, IL 60513","344,000",6,3,"2,600"
Brookfield,"4507 Dubois Blvd, Brookfield, IL 60513","285,000",4,3,"2,100"
Brookfield,"4001 Arthur Ave, Brookfield, IL 60513","320,000",5,2.5,"1,721"
Brookfield,"3211 Prairie Ave, Brookfield, IL 60513","270,000",4,2,"1,032"
Brookfield,"4001 Arthur Ave, Brookfield, IL 60513","320,000",5,2.5,"1,721"
Brookfield,"4001 Arthur Ave, Brookfield, IL 60513","320,000",4,3,"1,721"
Brookfield,"4136 Park Ave, Brookfield, IL 60513","189,500",4,1,"1,578"
Brookfield,"9123 27th St, Brookfield, IL 60513","287,000",3,3,"1,150"
Brookfield,"9123 27th St, Brookfield, IL 60513","287,000",3,1.5,"1,150"
Brookfield,"3332 Arden Ave, Brookfield, IL 60513","235,000",2,2,"1,515"
Brookfield,"4301 Madison Ave, Brookfield, IL 60513","223,500",4,2,992
Brookfield,"3121 Madison Ave, Brookfield, IL 60513","185,000",2,1,700
Brookfield,"9044 Fairview Ave, Brookfield, IL 60513","125,000",2,1,975
Brookfield,"9547 Lexington Ave, Brookfield, IL 60513","330,000",3,2,"1,380"
Brookfield,"9125 Burlington Ave, Brookfield, IL 60513","199,900",3,1,835
Brookfield,"9229 Monroe Ave, Brookfield, IL 60513","242,500",3,2,"1,640"
Brookfield,"3343 Prairie Ave, Brookfield, IL 60513","485,000",4,3,"2,196"
Brookfield,"3216 Elm Ave, Brookfield, IL 60513","141,000",2,1,870
Brookfield,"3517 Cleveland Ave, Brookfield, IL 60513","415,000",3,2,"1,534"
Brookfield,"4117 Vernon Ave, Brookfield, IL 60513","179,000",2,1,747
Brookfield,"4425 Forest Ave, Brookfield, IL 60513","215,000",3,2,"1,320"
Brookfield,"4518 Deyo Ave, Brookfield, IL 60513","175,000",3,1,"1,240"
Brookfield,"8910 Plainfield Rd, Brookfield, IL 60513","189,000",2,2,"1,460"
Brookfield,"3005 Sunnyside Ave, Brookfield, IL 60513","329,000",3,2,"2,065"
Brookfield,"4120 Prairie Ave, Brookfield, IL 60513","165,000",4,2,"1,386"
Brookfield,"3100 Prairie Ave, Brookfield, IL 60513","192,000",2,1,"1,021"
Brookfield,"4313 Eberly Ave, La Grange, IL 60513","290,000",3,2.5,"2,021"
Brookfield,"3625 Vernon Ave, Brookfield, IL 60513","410,000",4,2.5,"1,747"
